,answers,district,month,query-type,questions,state
8311,['RECOMMENDED TO SPRAY MULTI-K 7.5 GM/ LIT WATER FOR BETTER GROWTH AND YIELD GREEN GRAM'],BALASORE,3,Cultural Practices	,and better for gram green growth yield,ODISHA
8312,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],BARMER,2,	Plant Protection	,control in insect me tarameera tell,RAJASTHAN
8313,['CONTECT NUMBER \r\n9413387167\r\n \r\n9414735332'],ALWAR,3,Government Schemes,contect director dy me number tell,RAJASTHAN
8314,['RECOMMENDED TO SPRAY MIRACULAN @ 1 ML / 1 LIT OF WATER'],BALASORE,3,	Plant Protection	,cowpea fruit in less size,ODISHA
8315,"['recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation\r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.\r\nimedachlorprid 5-7 ml at 15 liter of water.\r\nThiamethoxam 25 % WG \t4.0  ml/10 lit.', 'recommended for to control sucking pest spray imedachlorprid 5-7 ml at 15 liter of water.', 'dimethoate 30 EC 500 ml/ha', 'recommended for to control sucking pest  Spray imedachlorprid 5-7 ml at 15 liter of water.', '?\timedachlorprid 5-7 ml at 15 liter of water.', 'recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha \r\n\xe2\x80\xa2\tmethyl demeton 25 EC@ 500 ml/ha.', 'recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation\r\ndimethoate 30 EC 500 ml/ha', '?\timedachlorprid 5-7 ml at 15']",SAGAR,9,	Plant Protection	,about chilli control crop farmer how in information know pest sucking to to want,MADHYA PRADESH
8316,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml per pump.'],DAMOH,8,Cultural Practices,about control crop farmer in know of pest sucking to urdbean want,MADHYA PRADESH
8317,['Recommended  for to control of rodents attack in wheat  crop apply zinc phosphide in field.'],JABALPUR,1,Storage,about attack control crop farmer how in information know of rodents to to wants wheat,MADHYA PRADESH
8318,"['MSP RATE OF GRAM 4000 RS/Q', 'MSP RATE OF GRAM 4000 RS/QT']",AJMER,3,Market Information,gram me msp of rate tell,RAJASTHAN
8319,"['Recommended for to know information about complaint for electricity please contact to cm help line 181', 'Recommended for to know information about complaint for electricity please contact to cm help line 181.', 'Recommended for to know information about complaint for electricity please contact to Helpline Number 1912 and Toll Free Number 1800-233-1912.']",DAMOH,4,Government Schemes,about complaint electricity farmer for information know to wants,MADHYA PRADESH
8320,['CONTECT NUMBER OF KVK BARMER IS 02982-260123'],BARMER,2,Market Information,barmer contect kvk me number of tell,RAJASTHAN
8321,['for solar pump scheme plz cont. your district aksay urja nigam officer shri c b sing ji. -9424437771'],SAGAR,5,Government Schemes,about farmer government in information know pump scheme solar to wants,MADHYA PRADESH
8322,['USE KITAZINE 2.5 LITER PER HECTER WITH IRRIGATION'],BARMER,1,	Plant Protection	,color control me rot tell,RAJASTHAN
8323,"['WATERMELON VARIETY ---SUGAR BUY,SWEET RUBY,MAYA, SURATI.', 'WATERMELON VARIETY ---SUGAR BOY,SWEET RUBY,MAYA,SURATIARKA MANIAK']",BALANGIR,1,Cultural Practices,variety watermelon,ODISHA
8324,"['JODHPUR (GRAIN) MANDI IN RATE OF   MUSTARD (LAHA) 3082RS/QT', 'JODHPUR MANDI IN RATE OF MUSTARD 2985RS/QT']",BARMER,2,Market Information,about in jodhpur mandi me mustard of rate tell,RAJASTHAN
8325,"['Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for N: P: K 0:52:34  1 kg at per Acer or 100 gram per pump', 'Recommended to increase growth of soyabean for foliar application of N:P:K 19:19:19 water soluble fertilizer @ 100 gm/pump.']",SAGAR,7,Fertilizer Use and Availability,farmer growth how increase information needs of regarding soyabean to,MADHYA PRADESH
8326,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],AJMER,9,	Plant Protection	,control cototn me of pest tell,RAJASTHAN
8327,"['EARLY VARIETY OF CAULIFLOWER= PUSA MEGHNA, PUSA KARTIK SANKAR, PUSA DEEPALI', 'EARLY VARIETY OF CAULIFLOWER = PUSA MEGHNA, PUSA KARTIK SANKAR, PUSA DEEPALI']",BARMER,7,Varieties,cauliflower early me of tell variety,RAJASTHAN
8328,"['VARIETY OF BANANA---RUBUSTA,KABULI,CHAMPA, PATAKAPURA', 'VARIETY OF BANANA --- RUBASTA,CHAMPA,BANTALA, AMRITPANI']",BALANGIR,5,Cultural Practices,banana of variety,ODISHA
8329,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],BARMER,5,	Plant Protection	,control disease gvar in me tell,RAJASTHAN
8330,['ABOUT NUTRIENT MGT=18001806224'],BARMER,7,Animal Nutrition,about me mgt nutrient tell,RAJASTHAN
8331,['Spray emamectin benjoate 8- 10 gram or'],DAMOH,1,	Plant Protection	,caterpillars control crop farmer in information measures needs of onion regarding,MADHYA PRADESH
8332,"['Jaisinghnagar 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Mostly dry. Warm (max 30\xc2\xb0C on Sun afternoon, min 20\xc2\xb0C on Fri night). Mainly fresh winds.Jaisinghnagar 4 \xe2\x80\x93 7 Day Weather Forecast Summary: Moderate rain (total 10mm), heaviest on Wed afternoon. Warm (max 31\xc2\xb0C on Tue afternoon, min 21\xc2\xb0C on Mon night). Wind will be generally light.', 'Jaisinghnagar 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Heavy rain (total 31mm), heaviest during Sun night. Warm (max 32\xc2\xb0C on Sat afternoon, min 24\xc2\xb0C on Mon night). Wind will be generally light.Jaisinghnagar 4 \xe2\x80\x93 7 Day Weather Forecast Summary: Heavy rain (total 99mm), heaviest during Wed afternoon. Warm (max 31\xc2\xb0C on Tue afternoon, min 23\xc2\xb0C on Thu night). Wind will be generally light.']",SAGAR,9,Weather,farmer for information jaisinghnagar madhya needs of pradesh regarding state teh,MADHYA PRADESH
8333,['SPRAY OF QUZALOPHOP ETHYIL 50 GM a.i. PER HA 15 DAYS AFTER SOWING'],ALWAR,9,Cultural Practices,in management me onion tell weed,RAJASTHAN
8334,"['?\tThiamethoxam 25 % WG \t4.0  ml/10 lit.', 'Ooty 1, Bonneville, Arkel and Azad are the popular varieties under cultivation.', 'recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation\r\ndimethoate 30 EC 500 ml/ha', 'dimethoate 30 EC 500 ml/ha', 'recommended for to control sucking pest  Spray dimethoate 30 EC 500 ml/ha', 'recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation\r\n?\tdimethoate 30 EC 500 ml/ha', 'recommended for to control sucking pest  Spray dimethoate 30 EC 30 ml/pump.', 'imedachlorprid 5-7 ml at 15 liter of water.', 'recommended for to control sucking pest in  crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'to control sucking pest in  crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'RECOMENDED \tdimethoate 30 EC 500 ml/ha']",SAGAR,7,	Plant Protection	,about control crop farmer how in information know pest sucking to to urd want,MADHYA PRADESH
8335,['market information of urd  for   minimum- 4575  maximum- 4600  average-4546  Rs/Quintal'],DAMOH,4,Market Information,about farmer information information know market of to urd want,MADHYA PRADESH
8336,"['Recommended for to control weeds in fallow land spray glyphosate 41% SL 2.5 liter per hectare or Ammonium Salt of Glyphosate 71% S.G. Dose: 100 gm per spray pump of 15 ltr water or 2.5 liter per hectare.', 'Recommended for to control weeds in fallow land spray glyphosate 41% SL 2-3 liter per hectare', 'Recommended for to control weeds in fallow land spray glyphosate @ 1 liter / acre']",SAGAR,4,Weed Management,control fallow farmer in information land needs of regarding weeds,MADHYA PRADESH
8337,"['variety of black gram is pant u -30 ,khargone-3,T-9,PDU-1(BASNAT BAHR),JAWAHAR URAD-2']",SAGAR,6,Varieties,black crop farmer gram improve know of to variety want,MADHYA PRADESH
8338,['Thayofinate mithail 70% WP20 gram/pump spray.'],SAGAR,1,	Plant Protection	,control coriander crop gall how in stem to,MADHYA PRADESH
8339,"['CONTACT NO. OF AGRICULTURE INSURANCE COMPANY = 0141-4042999,0141-4042997', 'CROP INSURANCE-CONTACT NEAR BANK', 'ABOUT CROP INSURANCE-CONTACR NEAR BANK', '18002095858', 'CONTACT NEAR BANK', 'ABOUT CROP INSURANCE-18002095858', 'ABOUT CROP INSURANCE-0141-5116239', 'CROP INSURANCE CONTACT NUMBER 18001030061', 'CROP INSURANCE PLEASE CONTACT ON THIS NUMBER']",BARMER,7,Crop Insurance,about crop insurance me tell,RAJASTHAN
8340,"['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER', 'SPRAY OF PLANOFIX1 ML/4 LITRE']",BARMER,8,	Plant Protection	,control flower in me papaya tell,RAJASTHAN
8341,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],ALWAR,9,	Plant Protection	,guar in of root rot tellmecontrol,RAJASTHAN
8342,[''],AJMER,6,	Plant Protection	,bitter gourd in tellme thrips,RAJASTHAN
8343,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER'],ALWAR,4,	Plant Protection	,bacterial blight control disease in in me of tell watermelon,RAJASTHAN
8344,['For control of fruit borer on bhindi =Spray Tracer 4 ml / 15 liter of water(Spinosad)-Dow agro'],THANE,2,	Plant Protection	,about asked attack bhindi borer farmer fruit of on,MAHARASHTRA
8345,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],BARMER,8,Weather,in jhulsa khajeri me tell,RAJASTHAN
8346,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],ALWAR,8,	Plant Protection	,bacterial blight control coriander disease in me of tell,RAJASTHAN
8347,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF ACEPHATE 2 GM/LITR', '`SPRAY OF ACEPHTE 2 GM/LITRE', 'SPRAY OF CAEPHATE 2 G/LITRE']",ALWAR,2,	Plant Protection	,aphid control in me methi tell,RAJASTHAN
8348,"['Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha\r\n  dimethoate 30 EC 30 ml/pump \r\n1.  spray dimethoate 30 EC, 30 ml per pump   \r\n\xe2\x80\xa2\tMethyl demotion 25 EC@ 500 ml/ha.', 'Recommended for to control sucking pest in tomato crop spray fipronil@ 25 ml at 15 liter of water.', 'Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest in garlic crop spray fipronil@ 25 ml at 15 liter of water.']",SAGAR,5,	Plant Protection	,about control crop farmer how in information know pest sucking to to tomato wants,MADHYA PRADESH
8349,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER']",ALWAR,9,	Plant Protection	,bottle control gourd insect me tell,RAJASTHAN
8350,"['= MRCH -7017(BG 2),BIO SEED 6588,MRCH 6304,ANKUR 3028', '= TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6488']",ALWAR,5,Weather,aboutvariety bt cotton me of tell,RAJASTHAN
8351,['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER'],CUTTACK,6,	Plant Protection	,cucumber fruit in rot,ODISHA
8352,"['4020 RU /QU JODPUR MANDI RATE', '4750 RU /QU JODPUR MANDI']",BARMER,6,Weather,jodpur mandi me moong of rate tell,RAJASTHAN
8353,"['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.', 'Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water...', 'Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.']",SAGAR,7,	Plant Protection	,attack bhindi control crop farmer fungal in information measures need of regarding,MADHYA PRADESH
8354,['RECOMMENDED TO SAAF 2GM/ LIT WATER FOR CONTROL OF ROOT ROT DISEASES IN WATERMELON'],BALANGIR,4,	Plant Protection	,diseases in root rot watermelon,ODISHA
8355,"['urd -I.P.U.94-1 , PU-30 ,35 , MOONG P.D.M.139 , 54 , T.J.M. -3 ,nirmal-1,nirmal-585,nirmal-605,Prasad,green gold', '????  -I.P.U.94-1 , PU-30 ,35 , ????  P.D.M.139 , 54 , T.J.M. -3 ,nirmal-1,nirmal-585,nirmal-605,Prasad,green gold']",SAGAR,2,Seeds,and in moong urd varieties,MADHYA PRADESH
8356,"['Spray dimethoate 30 EC 500 ml/ha \xc3\xb3r 30 ml per pump', '?\tSpray dimethoate 30 EC 500 ml/ha', 'Spray Buprofezin 25% SC ( Jawaa, Apple and Bruno  ) @ 320 ml /acre', '?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.', 'Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",SAGAR,3,	Plant Protection	,control crop farmer how in information needs okra pest regarding sucking to,MADHYA PRADESH
8357,"['The next 5 days of weather information: - Chance for light rainfall for your district', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Heavy rain (total 28mm), heaviest during Tue morning. Warm (max 34\xc2\xb0C on Sat afternoon, min 25\xc2\xb0C on Tue morning). Mainly fresh winds.', 'The next 8 days of weather information: - Chance for light rainfall for your district MANDLA with cloudfy', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Mostly dry. Warm (max 43\xc2\xb0C on Sun morning, min 28\xc2\xb0C on Fri night). Wind will be generally light.', 'cloudy weather with sunlight in next 10 days for your district and today temperature is 19-32 degree centigfrate and the speed of the wind will be between 15-20 Kmph.', 'Sagar 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Light rain (total 3mm), mostly falling on Fri night. Warm (max 40\xc2\xb0C on Sun morning, min 27\xc2\xb0C on Fri night). Wind will be generally light.', 'Mandla 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Mostly dry. Warm (max 45\xc2\xb0C on Sun afternoon, min 29\xc2\xb0C on Mon night). Mainly fresh winds.Mandla 4 \xe2\x80\x93 7 Day Weather Forecast Summary: Heavy rain (total 20mm), heaviest during Wed night. Warm (max 43\xc2\xb0C on Tue afternoon, min 26\xc2\xb0C on Thu night). Wind will be generally light.Mandla 7 \xe2\x80\x93 10 Day Weather Forecast Summary: Heavy rain (total 20mm), heaviest during Fri afternoon. Warm (max 37\xc2\xb0C on Sun morning, min 26\xc2\xb0C on Sun night). Wind will be generally light.', 'Sagar\r\n10 day forecast\r\nToday Mostly clear\r\nHi: +25\xc2\xb0\r\nLo: +14\xc2\xb0\r\nNW 2 m/s Details\r\nTomorrow Partly cloudy\r\nHi: +25\xc2\xb0\r\nLo: +13\xc2\xb0\r\nN 3 m/s Details\r\nTue Jan 10 Mostly clear\r\nHi: +23\xc2\xb0\r\nLo: +10\xc2\xb0\r\nN 3 m/s Details\r\nWed Jan 11 Clear\r\nHi: +21\xc2\xb0\r\nLo: +7\xc2\xb0\r\nN 3 m/s Details\r\nThu Jan 12 Clear\r\nHi: +20\xc2\xb0\r\nLo: +7\xc2\xb0\r\nE 2 m/s Details\r\nFri Jan 13 Clear\r\nHi: +22\xc2\xb0\r\nLo: +8\xc2\xb0\r\nE 3 m/s Details\r\nSat Jan 14 Clear\r\nHi: +22\xc2\xb0\r\nLo: +12\xc2\xb0\r\nSE 3 m/s Details\r\nSun Jan 15 Mostly clear\r\nHi: +24\xc2\xb0\r\nLo: +12\xc2\xb0\r\nSE 3 m/s Details\r\nMon Jan 16 Clear\r\nHi: +23\xc2\xb0\r\nLo: +11\xc2\xb0\r\nW 2 m/s Details\r\nTue Jan 17 Clear\r\nHi: +22\xc2\xb0\r\nLo: +11\xc2\xb0\r\nNE 2 m/s Details', 'Rahatgarh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Moderate rain (total 10mm), heaviest on Fri night. Warm (max 38\xc2\xb0C on Mon morning, min 27\xc2\xb0C on Fri night). Wind will be generally light.', 'The next 8 days of weather information: - Chance for light rainfall for your district with cloudly weather.', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Light rain (total 8mm), mostly falling on Sun afternoon. Warm (max 34\xc2\xb0C on Sat afternoon, min 26\xc2\xb0C on Sat night). Mainly fresh winds.']",SAGAR,7,Weather,dist farmer for information madhya needs of pradesh regarding state,MADHYA PRADESH
8358,['NO USE WEEDICDE STANDING CROP.'],BARMER,2,Cultural Practices,crop cumin me month standing tell three use weedicide,RAJASTHAN
8359,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],ALWAR,6,	Plant Protection	,chiiles control disease in me tell,RAJASTHAN
8360,['aluminium phosphide poisoning'],BARMER,4,Cultural Practices,control in insect me tell wheta,RAJASTHAN
8361,['Recommended for to know information about contact number of DD kisan chanel is 1800113060 .'],SAGAR,6,Government Schemes,about channel contact dd farmer information kisan know number of to wants,MADHYA PRADESH
8362,"['RIJKA VARIETY - ANAND 2,LLC3 (ANNUAL),TYPE-9, RL 88(BIANNUAL) OTHER SIRSA-8,9, TYPE-8,IGFREE 244,NDRI SELECTION 1,LLC5']",AJMER,3,Market Information,me of rizka tell varity,RAJASTHAN
8363,"['JODHPUR (GRAIN)\tMOONG (LOCAL)\t4165RS/QT', 'BIKANER (GRAIN)\tMOONG (LOCAL)\t4175RS/QT', 'JODHPUR (GRAIN)\tMOONG (LOCAL)\t4550RS/QT', 'BARMER\tMOONG (LOCAL)\t4350RS/QT', 'JODHPUR (GRAIN)\tMOTH\t2505RS/QT', 'JODHPUR (GRAIN)\tMOONG (LOCAL)\t3962RS/QT', 'JODHPUR (GRAIN)\tMOONG (LOCAL)\t4250RS/QT', 'KEKRI\tMOONG (LOCAL)\t4550RS/QT', 'LOONKARNSAR  MOONG (LOCAL) 3750 RS/QT']",BARMER,1,Market Information,in market me moong rate tell,RAJASTHAN
8364,"['SUBSIDY IS 25 % FOR GENRAL FARMER AND 33 % FOR SC, ST FARMER AND PLS YOU SHOULD CONTECT YOUR NEAREST BANK FOR THIS LOAN AMOUNT.']",BARMER,9,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",about according animals dairy india manthan me milch new on scheme subsidy tell,RAJASTHAN
8365,['Recommended for to control nematodes garlic crop spray nemagone 30ml/pump'],SAGAR,9,Weather,about control crop farmer garlic how in information know nematodes to to want,MADHYA PRADESH
8366,"['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml  per pump.', 'Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml  per pump+ recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.']",DAMOH,5,	Plant Protection	,about black control crop farmer gram in know of pest sucking to want,MADHYA PRADESH
8367,['JODHPUR (GRAIN)  TARAMIRA 4200 RS/QT'],BARMER,4,Market Information,mandi me of rate taramera tell,RAJASTHAN
8368,"['recommended to control sucking pest in  soyabean   crop Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",SAGAR,7,	Plant Protection	,control crop farmer how in information needs pest regarding soyabean sucking to,MADHYA PRADESH
8369,"['SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER', 'SPRAY OF N;P;K 18:18:18 10 GM PER LITER WATER', 'SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER', 'DOSE OF UREA FOR TOP DRESSING IN BAJRA = 50 KG PER HA', 'USE UREA 24 KG/HAC WITH IRRIGATION IN BAJRA']",ALWAR,7,Nutrient Management,bajra in management me nutrient tell,RAJASTHAN
8370,"['DR . BALASAHEB SAWANT KONKAN KRISHI VIDYAPEETH, \r\nDAPOLI, DIST. RATNAGIRI.\r\n02358-282415 ( Extn. 217 )']",RAIGARH,3,"Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",about asked bskkv contact dapoli details farmer of,MAHARASHTRA
8371,['Recommended for to control of tarmit attack in wheat crop plz drench the field with chlorpyriphos mix with 8-10 kg sand for per acre.'],JABALPUR,2,	Plant Protection	,about attack control crop farmer how in information know of sugarcane termites to to wants,MADHYA PRADESH
8372,"['SPRAY FANTAC PLUS @ 1ML/1LIT WATER FOR FLOWER DROP IN COWPEA', 'RECOMMENDED TO SPRAY PLANOFIX 1ML/5 LIT WATER FOR CONTROL OF FLOWER DROP IN COWPEA', 'RECOMMENDED TO SPRAY PLANOFIX 1ML/ 5 LIT WATER FOR CONTROL OF FLOWER DROP IN COWPEA', 'RECOMMENDED TO SPRAY FANTAC PLUS 7ML/15 LIT WATER AT AFTERNOON']",CUTTACK,1,Weather,cowpea drop flower in,ODISHA
8373,"['Recommended for the crop requires 4-6 irrigations depending on the soil type and rainfall.Wheat crop requires minimum of 5 irrigations at the following critical stages.\r\n1.\tImmediately after sowing\r\n2.\tCrown root initiation: 15-20 DAS \r\n3.\tActive tillering stage: 35-40 DAS\r\n4.\tFlowering stage: 50-55 DAS\r\n5.\tGrain filling stage: 70-75 DAS\r\n6.\tCrown root initiation and flowering are the most critical stages. Water stagnation should be voided at the time of germination.', 'Recommended for the crop requires 4-6 irrigations depending on the soil type and rainfall.Wheat crop requires minimum of 5 irrigations at the following critical stages.\r\n1.Immediately after sowing\r\n2.Crown root initiation: 15-20 DAS \r\n3.Active tillering stage: 35-40 DAS\r\n4.Flowering stage: 50-55 DAS\r\n5.Grain filling stage: 70-75 DAS\r\n6.Crown root initiation and flowering are the most critical stages. Water stagnation should be voided at the time of germination.', '1.Immediately after sowing\r\n2.Crown root initiation: 15-20 DAS \r\n3.Active tillering stage: 35-40 DAS\r\n4.Flowering stage: 50-55 DAS\r\n5.Grain filling stage: 70-75 DAS']",JABALPUR,2,	Water Management	,farmer in information management needs regarding water wheat,MADHYA PRADESH
