,answers,district,month,query-type,questions,state
6708,['Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.'],SAGAR,7,	Plant Protection	,attack chilli control crop farmer fungal in information measures need of regarding,MADHYA PRADESH
6709,['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.'],SAGAR,7,	Plant Protection	,attack control crop fungal how in of soyabean to,MADHYA PRADESH
6710,"['MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE', 'SPRAY OF BOREX 4 GM PER LITER WATER']",BARMER,6,Nutrient Management,in management me nutrient pomegranate tell,RAJASTHAN
6711,['spray tricyclazole 75% wp 200gm. per acre'],JABALPUR,9,	Plant Protection	,about attack blast farmer information know of paddy to want,MADHYA PRADESH
6712,['variety of pumpkin Arka suryamuki and Arka Chandan.\r\nSeason \r\nJune- July and December- January are suitable seasons.'],BARMER,6,Seeds and Planting Material,me of pumpkin tell variety,RAJASTHAN
6713,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],ALWAR,5,	Plant Protection	,about chillies control grub in me tell white,RAJASTHAN
6714,['recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP'],SAGAR,4,	Plant Protection	,control crop gram green how in pest sucking to,MADHYA PRADESH
6715,['THANE PHONE NO-022-25823389'],THANE,3,Soil Testing,about asked lab no phone soil testing,MAHARASHTRA
6716,['SUBSIDY ON SOLAR PLANT=70% OF TOTAL COST'],ALWAR,2,Government Schemes,about in me plant solar subsidy tell,RAJASTHAN
6717,['The premium under the Pradhan Mantri Fasal Bima Yojana is way less than the previous government or private crop insurance schemes. The premium amount for Kharif crops is 2 percent and 1.5 percent or the sum insured for Rabi crops. Karif and Rabi covers most food crops and oil crops cultivated in India. The premium for commercial or horticultural crops (including cotton) is pegged at 5 percent for one year.'],SAGAR,2,Weather,about bima farmer fasal know mantri pradhan to want yojana,MADHYA PRADESH
6718,"['VARIETY OF SOYABEAN = PK 472, J S 335, PRATAP SOYA 1, JS 95-60, JS 93-05']",ALWAR,4,Varieties,me of soyabean tell varitey,RAJASTHAN
6719,['Pulses\r\nArhar (Tur/Red Gram)\t5.4\tTonnes\tArhar Dal(Tur)\t3500\t4675\t3900\tRs/Quintal\r\nBengal Gram(Gram)\t547.6\tTonnes\tDesi (Whole)\t4600\t5600\t5300\tRs/Quintal\r\nBlack Gram (Urd Beans)\t4.3\tTonnes\tOther\t3800\t4900\t4601\tRs/Quintal\r\nLentil(Masur)\t65.5\tTonnes\tOther\t3800\t4725\t4355\tRs/Quintal\r\nPeas(Dry)\t42.3\tTonnes\tOther\t2850\t3155\t3000\tRs/Quintal'],DAMOH,3,Market Information,in information market rate sa,MADHYA PRADESH
6720,['PLANTING OF ALOE VERA IS MARCH AND JULY'],ALWAR,4,Seeds and Planting Material,about aloe me of planting tell vera,RAJASTHAN
6721,"['APPLY DAP 35KG,MOP 27KG,UREA 4KG/ACRE', 'APPLY UREA 50GM,DAP 50GM,MOP 100GM/PLANT']",BALANGIR,1,Fertilizer Use and Availability,dose fertiliser,ODISHA
6722,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],BARMER,2,	Plant Protection	,about control in me pomegranate tell termite,RAJASTHAN
6723,['recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP'],JABALPUR,4,	Plant Protection	,black control crop gram how in pest sucking to,MADHYA PRADESH
6724,['RECOMMENDED TO SPRAY THIAMETHOXAM @ 8 GRAM / 15 LIT OF WATER'],CUTTACK,6,	Plant Protection	,culring gourd in leaf ridgr,ODISHA
6725,['The crop requires 4 - 6 irrigations depending on the soil type and rainfall. Wheat crop requires minimum of 5 irrigations at the following critical stages.\r\nI \xe2\x80\x93 Immediately after sowing\r\nII \xe2\x80\x93 Crown root initiation: 20-25 DAS \r\nIII- Active tillering stage: 40-45 DAS\r\nIV- Flowering stage       : 50-55 DAS\r\nV- Grain filling stage     : 70-75 DAS'],SAGAR,2,	Water Management	,about crop farmer information irrigation know of to wants wheat,MADHYA PRADESH
6726,['Spray N: P: K:19:19 100 grams and humic acid 30 ml at 15 liter of water.'],SAGAR,8,Fertilizer Use and Availability,and better crop fertilizer for give growth in nutrient soyabean which which,MADHYA PRADESH
6727,"['imedachlorprid 5-7 ml at 15 liter of water.', 'dimethoate 30 EC 500 ml/ha']",SAGAR,8,	Plant Protection	,about control crop farmer how in information know pest sucking to to tomato want,MADHYA PRADESH
6728,"['FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT']",ALWAR,5,Nutrient Management,about in lemon management me nutrient tell,RAJASTHAN
6729,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],AJMER,8,	Plant Protection	,chillies controle in me pest tell,RAJASTHAN
6730,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],BARMER,2,Nutrient Management,management me micro nutrient tell,RAJASTHAN
6731,['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION'],BARMER,2,	Plant Protection	,control isbagol me of root rot tell,RAJASTHAN
6732,['SPRAY OF DICOFOL 1.5 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,control gralic in me of tell termite,RAJASTHAN
6733,['SPRAY ZINK SALPHET 33% 5 GM+BUJHA CHUNA 2.5 GM/LITER WATER'],BARMER,1,	Plant Protection	,colour control in leaf me onion tell yellow,RAJASTHAN
6734,['USE CARTAF HYDROCHLORIDE 16 KG PER HA FOR CONTROL OF STEM BORER'],ALWAR,6,	Plant Protection	,about borer brinjal control in me pest shoot tell,RAJASTHAN
6735,['LAL\tKOPARGAON\tQUINTAL\t7\t3310\t3440\t3415\r\nLAL\tNAMPUR\tQUINTAL\t5\t1551\t3200\t3071\r\n----\tRAHATA\tQUINTAL\t3\t3000\t3000\t3000\r\nLAL\tSINDKHED RAJA\tQUINTAL\t3\t4000\t4000\t4000\r\nKALI\tGEVRAI\tQUINTAL\t2\t3601\t3601\t3601'],RAIGARH,2,Market Information,market rate,MAHARASHTRA
6736,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,7,	Plant Protection	,bottle control droping flower gourd in me of tell,RAJASTHAN
6737,"['To control white fly Spray of lambda cyhalothrin 5 % EC, 12-15 ml/pump']",SAGAR,2,	Plant Protection	,about control crop farmer fly how in information know onion to to wants white,MADHYA PRADESH
6738,['7-10 KG /PAR BIGHA'],ALWAR,8,Weather,jeeri kali me of rate seed tell,RAJASTHAN
6739,"['JODHPUR MANDI ME  ISABGOLE KE BHAV =10860 RS./QUT.', 'JODHPUR MANDI ME ISABGOLE KE BHAV = 10400 RS./QUT.']",BARMER,4,Market Information,information isabgole market me of tell,RAJASTHAN
6740,['1200 RU /QU'],ALWAR,5,	Plant Protection	,alwer mandi me papaya rate tell,RAJASTHAN
6741,['USE  Fipronil 0.3% GR 12-15 KG PER HA'],ALWAR,7,	Plant Protection	,control groundnut grub me of tell white,RAJASTHAN
6742,"['0mm-31Aug,11mm-1Sept,3mm-2Sept,21mm-3Sept,21mm-4Sept']",BALANGIR,8,Weather,balangir belpara for rainfall,ODISHA
6743,['Recommended for Spray Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water. |'],DAMOH,8,	Plant Protection	,about attack control crop farmer fungal how information know of of to to urd want,MADHYA PRADESH
6744,['Use recommended dose of fentec plus 10 ml per pump.'],JABALPUR,4,Nutrient Management,black control crop farmer flower gram groweth how in know to to wants,MADHYA PRADESH
6745,['CONTACT YOUR AGRICULTURAL SOCIETY FOR AGRICULTURAL CREDIT PROBLEM'],CUTTACK,5,Government Schemes,agricultural credit problem,ODISHA
6746,['0154-2440532'],AJMER,3,Weather,cultiovation masroom me tell,RAJASTHAN
6747,['70000 to 1 lack subsidy for well dinging contact to block agriculture officer for further details'],RATNAGIRI,5,Government Schemes,about asked dinging for subsidy well,MAHARASHTRA
6748,['Recommended for Spray Amino acid 10 ml at 15 liter of water for increase flowering in arhar crop.'],SAGAR,9,	Plant Protection	,about arhar crop farmer flowering how in increase know to to wants,MADHYA PRADESH
6749,['Recommended for Spray Dimethoate 30%EC (Rogar) 40 ml per pump.'],SAGAR,4,	Plant Protection	,control crop disease gram green how in mosaic to yellow,MADHYA PRADESH
6750,['SPRAY OF ACEPHATE .5 GM/LITRE'],ALWAR,2,	Plant Protection	,aphid control in me muskmillon tell,RAJASTHAN
6751,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,aphid control in me pea tell,RAJASTHAN
6752,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],BARMER,1,	Plant Protection	,control in in isubgol me tell thrips,RAJASTHAN
6753,['SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN DISSOLVE 400 LITER WATER AFETR 15-20 DAYS OF SOWING'],ALWAR,7,Weed Management,about gour in management me tell weed,RAJASTHAN
6754,['LEAF CURL ON CHILLI  - ACTRA 5 GM + REDOMIL GOLD 30 GM /15 LITER WATER SPRAY'],THANE,1,	Plant Protection	,chilli curl leaf on,MAHARASHTRA
6755,"['CONTACT NO. OF Central Sheep and Wool Research Institute,Avikanagar - TONK =01437- 220162, 01437-240490']",ALWAR,9,Market Information,and avikanagar central contact institute me number research sheep tell wool,RAJASTHAN
6756,['COLLEGE OF FORESTRY DAPOLI -02358- 283655'],THANE,1,Training and Exposure Visits,about asked cultivation farmer teak,MAHARASHTRA
6757,"['VARIETY OF TOMATO= PUSA GOURAV, PUSA SADABAHAR, PUSA ROHINI, P H 8\r\nVARIETY OF BRINJAL= AZAD KRANTI, PANT RITURAJ, H 7, PUSA HYBRID 6']",ALWAR,9,Seeds and Planting Material,and brinjal me of tell tomato variety,RAJASTHAN
6758,"['Minimum 3400 Rs/Quintal, Maximum 3750\t Rs/Quintal, Modal price 3600 Rs/Quintal\r\n06/05/2017\t97.6\tMasoor Gola\t3400\t3750\t3600']",SAGAR,5,Market Information,bina farmer information lentill mandi market needs of rate regarding,MADHYA PRADESH
6759,['RECOMMENDED TO APPLY CHLORPYRIFOS DUST 8KG / 1 ACRE'],BALANGIR,8,Cultural Practices,ant cotton in problem,ODISHA
6760,['recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP'],SAGAR,3,	Plant Protection	,control crop gourd how in pest ribbed sucking to,MADHYA PRADESH
6761,['Dear farmer update sms crop advisory facility in your mobile number.'],DAMOH,4,Government Schemes,about advisory crop facility farmer his in know mobile number sms to want,MADHYA PRADESH
6762,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],BARMER,1,	Plant Protection	,contr cumin me tell termait,RAJASTHAN
6763,"['Dr.Girish.N.Mathur\r\nProgramme Coordinator\r\nKrishi Vigyan Kendra\r\nN.H.No.8, Tabiji Farm\r\n0145-\r\n2440023']",AJMER,3,Government Schemes,contact kendra krishi me number tell vigyan,RAJASTHAN
6764,['spray planofix 7ml. per 15 liter of water.spray'],SAGAR,4,	Plant Protection	,about droop farmer flower in information know pomegranate to want,MADHYA PRADESH
6765,['recommend to control SUCKING IN pest in papaya fruit crop for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP'],SAGAR,9,	Plant Protection	,about control crop farmer fruit how in in information know papaya pest sucking to to want,MADHYA PRADESH
6766,['Recommended for before germination use pendimethilin 1 kg at 500 liter of water per hactayer'],SAGAR,4,Weed Management,about control crop farmer how in know lentil to to wants weeds,MADHYA PRADESH
6767,['Ans:- recommended for foliar application of IFFCO 00:00:50 water \r\nsoluble fertilizer @ 100 gm/pump.'],SAGAR,1,Nutrient Management,about farmer growth how increase information know of potato sweet to to want,MADHYA PRADESH
6768,['DETAIL PACKAGE OF PRACTICE EXPLAINED IN SRI METHOAD PADDY CULTIVATION'],BALANGIR,1,Cultural Practices	,cultivation methoad paddy sri,ODISHA
6769,"['VARIETY OF ONION = NASIK RED,PUSA RED,AGRIFOUND RED, PUSA RED, PUSA MADHAWAI']",ALWAR,2,Seeds and Planting Material,me of onion tell variti,RAJASTHAN
6770,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],ALWAR,6,	Plant Protection	,about chillies controle in me tell yellowing,RAJASTHAN
6771,['JAN-MARCH-SEASON OF SUGARCANE'],CUTTACK,4,Cultural Practices,of season sugarcane,ODISHA
6772,"['?\tuse recommended dose of chloropyriphos 20EC 1 liter, mixed in 8-10 kg of sand and broad cast in 1 acre of field.']",SAGAR,8,	Plant Protection	,control crop farmer in information insect measures needs of regarding soil tomato,MADHYA PRADESH
6773,['RECOMMENDED TO SPRAY FANTAC PLUS 7ML/15 LIT WATER AT AFTERNOON'],CUTTACK,7,	Plant Protection	,fruit gourd of pointed size small,ODISHA
6774,['spray planofix 5 ml. per 15 liter of water.spray'],SAGAR,9,	Plant Protection	,about brinjal droop farmer flower in information know to want,MADHYA PRADESH
6775,['recommended for t know information about complant for electricity please contact to cm help line 181'],SAGAR,8,Government Schemes,181 about about cm complant complant contact electricit electricity farmer for for for help information information know know line please recommended to to to want,MADHYA PRADESH
6776,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],BARMER,4,Nutrient Management,control droping flower in khejri me of tell,RAJASTHAN
6777,"['VARIETY OF MOONG =SML 668, RMG 492, RMG 268, RMG 344', 'VARIETY OF MOONG =SML 668,GM-4, RMG 492, RMG 268, RMG 344']",BANSWARA,2,	Field Preparation	,me moong of tell varity,RAJASTHAN
6778,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water'],SAGAR,5,Weather,about control farmer fungal how information know to to wants,MADHYA PRADESH
6779,['RECOMMENDED TO SPRAY CHLOROPYRIPHOUS  2 ML/ LIT WATER FOR CONTROL OF LEAF EATING CATER PILLAR IN BANANA'],BALASORE,8,	Plant Protection	,banana cater eating in leaf pillar,ODISHA
6780,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,8,	Plant Protection	,control cottonn in me of root rot tell,RAJASTHAN
6781,"['VARIETY OF FODDER MAIZE = AFRICAN TAIL, GANGA- 5']",BANSWARA,2,Varieties,fodder maize me of tell variety,RAJASTHAN
6782,['Amount of seed: 70-80 kg / ha. Banyan variety is 100 kg / ha.'],SAGAR,8,Seeds and Planting Material,farmer know of pea rate seed to want,MADHYA PRADESH
6783,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],ALWAR,6,	Plant Protection	,about black bottle control gourd in in leaves me spot tell,RAJASTHAN
6784,['Recommended for chilli Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.'],SAGAR,5,	Plant Protection	,and attack brinjal control control crop crop fungal how how in in of pest soyabean sucking to to,MADHYA PRADESH
6785,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,7,	Plant Protection	,control crown me of rot tell,RAJASTHAN
6786,['CM help line no is 181'],DAMOH,4,Government Schemes,about asking cm farmer help line no,MADHYA PRADESH
6787,['Dr.P.C.Bhati\tJoint director Ajmer Range\t9414779785\t145\t2622565'],AJMER,4,Animal Breeding,animal contact me n tell,RAJASTHAN
6788,['Recommended for Spray Dimethoate 30%EC (Rogar) 30 ml per pump.'],SAGAR,6,	Plant Protection	,chhillie control crop farmer fly in information measures need of regarding white,MADHYA PRADESH
6789,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],AJMER,4,Nutrient Management,control droping flower in lassida me tell,RAJASTHAN
6790,['DETAIL PACKAGE OF PRACTICE EXPLAINED IN DRUMSTICK CULTIVATION'],DHENKANAL,8,Cultural Practices,cultivation drumstick,ODISHA
6791,['Recommended for Spray liquid sulpher 40 ml per pump and maintain fume in evening time all around the field.'],SAGAR,1,Cultural Practices	,crop from frost gram how my protect to,MADHYA PRADESH
6792,['Recommended for Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.'],SAGAR,8,Weather,and better crop fertilizer for give growth in nutrient which,MADHYA PRADESH
6793,['Recommended for Spray Use imidaclorprid 17.8%SL @5 to 6 ml per pump.'],DAMOH,7,	Plant Protection	,about aphids control crop farmer gram green how in information know to to want,MADHYA PRADESH
6794,['Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray. |'],DAMOH,2,	Plant Protection	,bengal caterpillars control crop gram how in to,MADHYA PRADESH
6795,['Recommended for Mancozeb 40 gram  at 15 liter of water.'],SAGAR,5,	Plant Protection	,attack control crop cucumber farmer fungal in information measures need of regarding,MADHYA PRADESH
6796,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.', 'Spray of Ethiprole 40%+imidaclorprid 40% (glamore80%wG) 100 to 125 gram /hac (WBPH and BPH of rice)', 'Spray dimethoate 30 EC 500 ml/ha \xc3\xb3r 30 ml per pump \r\nSpray Methyl demeton (metasystox 25 ec) 25 EC@ 500 ml/ha or 25 to 30 ml per pump.\r\nSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",DAMOH,8,	Plant Protection	,chillies control crop farmer how in information needs pest regarding sucking to,MADHYA PRADESH
6797,['RECOMMENDED TO SPRAY ACEPHATE @ 2.5 GRAM / 1 LIT OF WATER'],BALASORE,2,	Plant Protection	,groundnut in pest sucking,ODISHA
6798,['recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],SAGAR,7,Fertilizer Use and Availability,about black crop farmer gram growth how increase information know of to to want,MADHYA PRADESH
6799,"['CONTECT FOR 0144  2344553,']",ALWAR,5,Government Schemes,adhikari contect jila me number rasad tell,RAJASTHAN
6800,['CROP INSURANCE DATE 23 JANUARY 2017'],BARMER,1,Crop Insurance,crop date insurance me tell,RAJASTHAN
6801,"['VARIETY OF MUSKMELON = DURGAPURA MADHU, HARA MADHU, PUSA MADHURAS, ARKA JYOTI, R M- 43']",BARMER,2,Varieties,me muskmelon of tell variety,RAJASTHAN
6802,['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER'],BALANGIR,8,	Plant Protection	,cauliflower in leaf rot,ODISHA
6803,['Recommended for to control of fungal attack in gram crop use validamycin 3% L 25ml at 15 liter of water'],SAGAR,1,	Plant Protection	,attack control crop farmer fungal how in information masur needs of regarding to,MADHYA PRADESH
6804,['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER'],ALWAR,7,	Plant Protection	,control cotton fly in me of tell white,RAJASTHAN
6805,"['SPRAY SOLUBLE NPK  18:18:18 GRADE 8 GM/LTR WATER', 'GIVE UREA']",ALWAR,4,Fertilizer Use and Availability,affacted growth me sorghum tell,RAJASTHAN
6806,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,1,	Plant Protection	,black control me morpankhi on spot tell,RAJASTHAN
6807,"['Variety\r\n\r\nPusa Mejasti and Pusa Giant, Washington, Solo, Coimbatore, Honeydew, Kunrghneedyu, Pusa Dwarf, Pusa Delisiys, Ceylon, Pusa little more major strands one requiring a kg seeds 500g ha, papaya plant seeds are prepared by a hectares per trench 2 plant 5000 seedlings number Lgegiklgane time and way out\r\n\r\nPapaya plants are first prepared in the seedlings, the plants should be planted in the already prepared pit in June, July, and the entire arrangement of irrigation can be done, from September to October and from February to March papaya plants can be planted. Planting\r\n\r\nBy this method the seed is first to 15 to 20 cm from the ground surface The queue distance is 10 cm long and the distance of seed is 3 to 4 cm. Keeping the seed, 1 to 3 cm in seed Should not be sown in more depth than when the plant is about 20 to 25 cm When the height is raised then 2 plants per perched should be planted.']",SAGAR,8,Seeds and Planting Material,farmer know of papaya production to wants,MADHYA PRADESH
6808,"['RECOMMENDED TO SPRAY POLYFEED (19-19-19) @ 7 GM/ 1 LIT WATER', 'RECOMMENDED TO SPRAY POLYFEED (19-19-19) @ 7 GRAM / 1 LIT OF WATER']",BALANGIR,7,	Plant Protection	,growth of pumpkin slow,ODISHA
6809,['application of quizalofop ethyl @ 50 g ai/ha-1 and imazethapyr @ 50 g ai ha-1 on 15 \xe2\x80\x93 20 DAS.'],DAMOH,4,Weed Management,about crop farmer in know management moong to wants weed,MADHYA PRADESH
6810,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,4,	Plant Protection	,blight bottle control gourd in me tell,RAJASTHAN
6811,"['Recommended to apply Pretilachlor 50% EC 320ml per acre mixed with dry sand for weeds management in direct seeded paddy', 'Recommended to spray Bispyribac Sodium 10 EC (Nominee Gold)80ml in 200litres of water at 15day of seed sowing to control weeds in  direct seeded Paddy', 'Recommended to spray Pyrazosulfuron ethyl 10 WP(Sathi) 80gm per acre in 200litres of water to control weeds in direct seeded Paddy', 'Recommended to apply Bispyribac Sodium 10 EC 80ml per acre mixed with 15-20kg dry sand to control weeds in direct seeded Paddy', 'Recommended to apply Pyrazosulfuron ethyl 10 WP(Sathi) 80gm mixed with 20-25kg dry sand 3-10days of sowing to control weeds in direct seeded Paddy']",BALANGIR,6,Weed Management,direct in management paddy seeded weed,ODISHA
