,answers,changed-questions,district,month,query-type,state
8687,"['Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custerd apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water....', 'Nimastra- (sap-sucking insects and small Sundi for the control of caterpillars)\r\nContents: 5 kg neem or branches, 5 kg neem fruit / Neem upright, 5 liters of cow urine, cow dung 1 kg\r\nThe first method of creating 5 kg neem leaves in plastic pot sauce, and 5 kg neem fruits grind and grind and add 5 liters of cow urine and dung 1 kg, put all ingredients with a stick covered with gauze running Please. It will be ready in 48 hours. Play 48 hours four times with a stick.\r\nDuration of use: Use Nimastr have six months.\r\nPrecautions: Avoid sun Lkchhaye maintained. 2. Keep urine in plastic dishes or take.\r\nSpraying: 100 liters of water by filtering Nimastr ready to mix and spray machine, spraying.', 'Dear farmer for control use and Spray fipronil 5 % (Regent)@ 25 ml at 15 liter of water and FIPRONIL 0. 3% G R 8-10 kg per acre', 'Dear farmer for control sucking pest in black gram Imidacloprid+Fipronil 80% WG (40 + 40% w/w) 7-8 gram per pump']",black control crop farmer gram information measures needs pest regarding,JABALPUR,4,	Plant Protection	,MADHYA PRADESH
8688,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],chilles control droping flower tell,BARMER,5,Nutrient Management,RAJASTHAN
8689,['RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 2.5 GM + PLANTOMYCIN 1GM + 1 LIT WATER'],bacterial blight leaf moong,BALASORE,3,	Plant Protection	,ODISHA
8690,['SPRAY OF ZINK SULPHATE  5 GRAM + COPPER OXICHLORIDE 3 GM PER LITER WATER FOR YELLOWING LEAF CONTROLE IN ONION CROP'],controle crop leaf onion tell yellowing,ALWAR,4,Nutrient Management,RAJASTHAN
8691,"['use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water', 'spray mencojeb + carbandazim 45 gram and steptrocyclin 2 gram at 15 liter of water', 'recommended for to control of fungal attack in gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.', 'thiophanate methyl 72 % wp 25 gram / 16 litre of water spray', 'Use copper oxy chloride  50% w  45 gram and steptrocyclin  90% w/w 2 gram at 15 liter of water', 'recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water', 'recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water .']",attack control crop farmer fungal information know want,SAGAR,5,	Plant Protection	,MADHYA PRADESH
8692,"['SUBSIDY IS 25 % FOR GENRAL FARMER AND 33 % FOR SC, ST FARMER AND PLS YOU SHOULD CONTECT YOUR NEAREST BANK FOR THIS LOAN AMOUNT.']",accourding animal india loan manthan new scheme tell,ALWAR,9,Credit,RAJASTHAN
8693,['SPRAY PLANOFIX @ 3ML/15LIT WATER FOR  FRUIT DROP MANAGEMENT IN BRINJAL'],brinjal droping fruit management,BALANGIR,5,Fertilizer Use and Availability,ODISHA
8694,"['Recommended Chlorantraniliprole (corajan) 18.5% SC 4-5 ml/pump  or  Flubendiamide (fem) 480 SC, 4-5 ml at 15 liter of water']",brinjal caterpillars control crop farmer information measures needs regarding,SAGAR,8,	Plant Protection	,MADHYA PRADESH
8695,['RECOMMENDED TO SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST IN CLUSTER BEAN'],aphid bean cluster pest,BALANGIR,8,	Plant Protection	,ODISHA
8696,"['Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha', 'recommeded -dimethoate 30 EC 500 ml/ha.', 'Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest in crop spray imidachlorprid 5-7 ml at 15 liter of water.', 'Recommended for Lambda Cyhalothrin 5% EC 120 to 150 ml at per acre.', 'Recommended for Spray Dimethoate 30%EC (Rogar) 30 ml per pump.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\nDimethoate 30 EC 30 ml/pump \r\nMethyl demotion 25 EC@ 30 ml/pump.', 'Recommended for to control sucking pest in moong crop spray fipronil@ 25 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha\r\n  dimethoate 30 EC 30 ml/pump \r\n1.  spray dimethoate 30 EC, 30 ml per pump   \r\n\xe2\x80\xa2\tMethyl demotion 25 EC@ 500 ml/ha.', 'Recommended for to control sucking pest Spray dimethoate 30 EC 500 ml/ha', 'dimethoate 30 EC 500 ml/ha', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\nDimethoate 30 EC 30 ml/pump \r\nMethyl demotion 25 EC 30ml/pump.']",control crop farmer information know moong pest sucking wants,DAMOH,4,	Plant Protection	,MADHYA PRADESH
8697,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],plant protaction tell,BARMER,1,	Plant Protection	,RAJASTHAN
8698,"['recommended for Ooty 1, Bonneville, Arkel and Azad are the popular varieties under cultivation.']",farmer information know pea varieties want,SAGAR,9,Varieties,MADHYA PRADESH
8699,['JEERA (CUMIN)\t16000 RS/QT'],cumin mandi rrate tell,BARMER,2,Market Information,RAJASTHAN
8700,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],flower lemon tell,BANSWARA,1,	Plant Protection	,RAJASTHAN
8701,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],bail control droping flower tell,ALWAR,7,	Plant Protection	,RAJASTHAN
8702,"['Application of fertilizers: (per plant) \r\n \r\nManures and Fertilizers \t1st year\t2nd to 5th year\t6th year onwards\t   \r\nFYM\t10 kg\t20 kg\t30 kg\t   \r\nN\t200 g\t400 g\t600 g\t   \r\nP\t100 g\t250 g\t500 g\t   \r\nK\t400 g\t800 g\t1200 g', 'Manures and Fertilizers\tI year (kg)\tAnnual increase (kg)\tFrom 6th year (kg)\t   \r\nFYM\t10.000\t5.000\t30.000\t   \r\nN\t0.200\t0.100\t0.600\t   \r\nP2O5\t0.100\t0.025\t0.200\t   \r\nK2O\t0.100\t0.040\t0.300']",farmer fertilizer know mango plant want,SAGAR,9,Fertilizer Use and Availability,MADHYA PRADESH
8703,['CONTACT NUMBER OF PANT KRISHI BHAWAN JAIPUR- 0141-5116242'],bhawan contact jaipur krishi number pant tell,ALWAR,1,Crop Insurance,RAJASTHAN
8704,"['Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'Triazophos 35 % + Deltamethrin 1 % EC 30-40 ml per pump']",bottle caterpillars control crop farmer gourd information larva measures needs regarding,DAMOH,8,Agriculture Mechanization,MADHYA PRADESH
8705,"['Recommended for Spray (Methomyl 40% S.P) 30 gram / at 15 liter of water.', 'Recommended for Spray of Troijofos 40 EC 1000 Ml. / hac.', 'corajan Chlorantraniliprole 18.5% SC, 4-5 ml at 15 liter of water', 'Recommended for Spray of Monocrotophos 36 s. L. 800 ml. / hac.', 'Recommended for Spray of Trizophos 40 EC 1000 Ml. / hac.', 'Recommended for Spray of Queenolfos 25 EC 1000 Ml. / hac.', 'Recommended for Spray of Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac.', 'Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.', 'Recommended  for Spray emamectin benjoate 10 ml. at 15\r\nliter of water.', 'Recommended for Spray of Monocrotophos 36 s. L. 800 ml. / hac.\r\nRecommended for Spray of Troijofos 40 EC 1000 Ml. / hac.\r\nRecommended for Spray of Queenolfos 25 EC 1000 Ml. / hac. \r\nRecommended for Spray of Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac.', 'Recommended for Spray emamectin benjoate or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.']",caterpillars control crop farmer information measures need regarding soyabean,SAGAR,8,	Plant Protection	,MADHYA PRADESH
8706,"['Recommended for to increase growth of foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of     crop  foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of foliar application of IFFCO 0:52:34 or 0:0:50 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of foliar application of IFFCO 00:52:52 water soluble fertilizer @ 100 gm/pump.']",crop farmer growth increase information know wants,JABALPUR,2,Fertilizer Use and Availability,MADHYA PRADESH
8707,['RECOMMENDED TO SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST IN MARIGOLD'],aphid marigold pest,CUTTACK,1,	Plant Protection	,ODISHA
8708,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],coriander jhulsa tell,ALWAR,3,	Plant Protection	,RAJASTHAN
8709,"['Dear farmer You can register online for registration related to the sale of Paddy and other coarse grains which is being provided link http://mpeuparjan.nic.in/PPMS2017/App_For_New_FR_Reg.aspx and also mukhyamantri bhavantar scheme form download http://mpeuparjan.nic.in/PPMS2017/kharif2017formfood.pdf or contact your nearest society.', 'Dear farmer You can register online for registration related to the sale of Paddy and other coarse grains and also mukhyamantri bhavantar scheme, which is being provided link http://mpeuparjan.nic.in/PPMS2017/App_For_New_FR_Reg.aspx or contact your nearest society.', 'Dear farmer You can register online for registration related to the sale of Paddy and other coarse grains, which is being provided link http://mpeuparjan.nic.in/PPMS2017/App_For_New_FR_Reg.aspx or contact your nearest society.', 'also mukhyamantri bhavantar scheme form download http://mpeuparjan.nic.in/PPMS2017/kharif2017formfood.pdf or contact your nearest society.']",coarse farmer grains information needs online paddy regarding registration sale,SAGAR,9,Government Schemes,MADHYA PRADESH
8710,"['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION', 'USE HEXACONAZOLE 5% EC 1 LITER PER HA WITH IRRIGATION']",control muskmelon root rot tell,AJMER,4,	Plant Protection	,RAJASTHAN
8711,['RECOMMENDED TO SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF SUCKING PEST IN BLACKGRAM'],blackgram pest sucking,CUTTACK,1,	Plant Protection	,ODISHA
8712,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER']",aphid control cummin tell,BARMER,2,	Plant Protection	,RAJASTHAN
8713,"['VARIETY OF BAJRA = HHB 67-2, RHB 173, RHB 171, RHB 121, GHB 538\r\n\r\nVARIETY OF CORIANDER= RCR 20, RCR 41, RCR 436, RCR 684, RCR 480, CS 6']",bajra coriander tell variety,ALWAR,6,Varieties,RAJASTHAN
8714,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],aphids control tell urd,AJMER,8,	Plant Protection	,RAJASTHAN
8715,"['VARIETY OF CARROT---PUSA MEKHALI,SAMSAN.', 'VARIETY OF CARROT = PUSA RUDHIRA, PUSA AASITA, PUSA VARISHTI']",carrot variety,BALASORE,2,Cultural Practices,ODISHA
8716,"['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER']",control pest tell,AJMER,7,	Plant Protection	,RAJASTHAN
8717,['SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER'],castor control insect tell,BARMER,8,	Plant Protection	,RAJASTHAN
8718,"['1mm-10th Aug,4mm-11th Aug,1mm-12th Aug']",balangir degaon rainfall,BALANGIR,8,Weather,ODISHA
8719,"['SPRAY OF RIDOMIL GOLD 2 GM PER LITER WATER', 'SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER']",control cumin disease tell,BARMER,2,	Plant Protection	,RAJASTHAN
8720,"['F1 Hybrid VNR-Samita (VNR S-331),F1 Hybrid VNR-1523,VNR HEER (47-7)-VARIETIES OF CHILLI', 'VNR-Sunidhi (VNR-G-878),VNR-Jyoti (VNR-G-273),VNR-GUNDU (S-665),VNR HEER (47-7)-VARIETIES OF CHILLI']",chilli varieties,CUTTACK,4,Cultural Practices,ODISHA
8721,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],control damping tell tomato,AJMER,8,	Plant Protection	,RAJASTHAN
8722,"['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER  \r\nTELL ME INSECT CONTROL', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER \r\nTELL ME INSECT CONTROL IN', 'SPRAY OF DICOFOL 1.5 ML PER LITER WATER']",chillies control insect tell,ALWAR,4,	Plant Protection	,RAJASTHAN
8723,"['\xe2\x80\xa2dimethoate 30 EC 500 ml/ha', '1.  spray dimethoate 30 EC, 30 ml per pump', 'Recommended for to control sucking pest in black gram crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest in blackgram crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', '\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha', 'Recommended for to control sucking pest in black grfam crop spray imedachlorprid 5-7 ml at 15 liter of water +Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.']",black control crop farmer gram information know pest sucking wants,SAGAR,3,	Plant Protection	,MADHYA PRADESH
8724,['SPRAY OF KERATHIAN LC 1 GRAM PER LITER WATER FOR CONTROL OF POWDERY MILDEW DISEASE IN HIBISCUS'],control disease hibiscus rust tell white,ALWAR,9,	Plant Protection	,RAJASTHAN
8725,"['VARIETY OF BT COTTON = TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6488']",cotton tell verity,ALWAR,4,Varieties,RAJASTHAN
8726,['DETAIL DATA EXPLAINED IN CROP INSURANCE SCHEME'],crop insurance scheme,CUTTACK,8,Crop Insurance,ODISHA
8727,"['VARIETY OF TOMATO= PUSA GOURAV, PUSA SADABAHAR, PUSA ROHINI, P H 8']",tell tometo variety,ALWAR,6,Seeds and Planting Material,RAJASTHAN
8728,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],control cowpea cut tell worm,ALWAR,8,Weather,RAJASTHAN
8729,"['recommended for to know information about agriculture insurance contact to your nearest bank  & dial 0755-4218901,4218902,4218903']",agriculture information insurance know want,SAGAR,5,Government Schemes,MADHYA PRADESH
8730,"['Foreshore\r\n\r\n\r\n     15 to 100 days of damage possible\r\n     1 larvi causes damage to many stems underground.\r\n     Deadhart builds and can not be protected from planted plants.\r\n     Many foxes come out from the side\r\n\r\n\r\n\r\n     Winter Sowing-October-November\r\n\r\n    Before sowing sugarcane seeds, 0.1 percent chloropyriphus 25 EC Treat the solution for up to 20 minutes.\r\n\r\n    If the outbreak is increased, then the forte 10 g 15-20 kg. Or Carbafurean 3G 33 kg / ha. Use']",borer control farmer information know fore want,JABALPUR,3,	Plant Protection	,MADHYA PRADESH
8731,"['Recommended for soil testing please contact at your nearest krishi vigyan kendra or krishi upaj mandi.', 'Recommended for soil testing please contact at your nearest krishi']",district farmer information needs regarding soil testing,DAMOH,6,Soil Testing,MADHYA PRADESH
8732,['recommended for to control caterpillar in arhar  spray to Emamectin benzoate 5 %@7-8 gram/pump.'],caterpillar control farmer information know urdbean want,JABALPUR,8,Weather,MADHYA PRADESH
8733,"['RECOMMENDED TO SPRAY IMIDACLOPRID 1ML / 3 LIT WATER', 'SPRAY IMIDACLOPRID (CONFIDER) @ 6ML/15LIT WATER FOR LEAF CURLING IN TOMATO', 'SPRAY THIOMETHOCZAM @ 10GM/15LIT WATER FOR LEAF CURLING IN TOMATO', 'SPRAY IMIDACLOPRID (TATAMIDA) @ 5ML/15LIT WATER FOR LEAF CURLING IN TOMATO', 'SPRAY ACEPHATE @ 2GM/1LIT WATER FOR LEAF CURLING IN TOMATO', 'RECOMMENDED TO SPRAY THIAMETHOXAM @ 8 GRAM / 15 LIT OF WATER']",curling leaf tomato,BALANGIR,1,	Plant Protection	,ODISHA
8734,"['YOU SHOULD CONTECT IN YOUR NEEYARAR BANK BRANCH FOR ANIMAL LOAN FOR MORE INFORMATION CONTECT THIS NO.-1800229009 AND  0141-2740821 AND 919819418150', 'YOU SHOULD CONTECT IN YOUR NEEYARAR BANK BRANCH FOR ANIMAL LOAN AND MORE INFORMATION CONTECT TO NABARD ON THIS NUMBER-1800229009 AND 0141 -2740821', 'YOU SHOULD CONTECT IN YOUR NEEYARAR BANK BRANCH FOR ANIMAL LOAN AND MORE INFORMATION CONTECT TO NABARD ON THIS NUMBER-1800229009 AND 0141 -2740821AND 919819418150', 'YOU SHOULD CONTECT IN YOUR NEEYARAR BANK BRANCH FOR ANIMAL LOAN AND MORE INFORMATION RIGARDING ANIMAL HUSBANDRY LOAN CONTECT THIS NO.-1800229009 AND 0141-2740821', 'YOU SHOULD CONTECT IN YOUR NEEYARAR BANK BRANCH FOR ANIMAL LOAN FOR MORE INFORMATION CONTECT THIS NO.-1800229009 AND  0141-2740821', 'YOU SHOULD CONTACT IN YOUR NEEYARAR BANK BRANCH FOR ANIMAL LOAN AND CONTECT THIS NUMBER OF ANIMAL HUSBANDRY -18001806224', 'CONTECT IN YOUR NEEYARAR BANK BRANCH FOR ANIMAL LOAN OR NABARD BANK ON THIS NO.=1800229009 OR 0141-2740821', 'YOU SHOULD CONTECT IN YOUR NEEYARAR BANK BRANCH FOR ANIMAL LOAN AND MORE INFORMATION RIGARDING ANIMAL HUSBANDRY CONTECT THIS NO.-1800 180 6224', '""CONTECT IN YOUR NEEYARAR BANK BRANCH FOR ANIMAL LOAN AND MORE INFORMATION CONTEC THIS NABARD BANK NO. = 1800229009 OR 01412740821 OR +919819418150 OR  8441947445\r\n""']",animal farming loan tell,BARMER,9,Credit,RAJASTHAN
8735,"['spray mencojeb + carbandazim 45 gram and steptrocyclin 2 gram at 15 liter of water', 'contro of fungul attack in urd bean  spray of validamycine 30 mili litre /16 litre of water spray', 'recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water .']",attack bean control crop farmer fungal information know urd want,SAGAR,7,	Plant Protection	,MADHYA PRADESH
